subject_id,topic_id,atomic_topic_id,question_id,question,a,b,c,answer,aolution,image_q,image_a,difficulty,question_type,Mock,Session
4,20,22,Q12,CFA Institute Standards of Professional Conduct are most accurately described as being based on:,a code of ethics.,accepted legal standards.,the best interests of members and candidates.,A,The Answer is A . CFA Institute Standards are based on a code of ethics.,,,Easy,Conceptual,A,1
4,20,22,Q13,Which of the following statements about legal and ethical standards is most accurate?,Illegal acts are always unethical.,Some illegal acts are considered ethical.,Unethical acts are always illegal.,B,The Answer is B .Some illegal acts are considered ethical by many people.,,,Easy,Conceptual,,1
4,20,21,Q14,Which of the following best describes elements of a framework for ethical decision making?,Identify relevant facts; consider influences and alternatives; decide and act; reflect on outcomes.,Relevance; faithful representation; transparency; comprehensiveness; consistency.,"State the objective; gather, process, and interpret the data; report the conclusions; update the analysis.",A,The Answer is A .Ethical decision-making includes considering alternatives and impacts.,,,Easy,Conceptual,,1
4,20,22,Q15,A code of ethics:,provides the public with assurance of a minimum level of ethical behavior.,should not be used for marketing purposes.,may be rules-based or principles-based.,C,The Answer is C and a code of ethics can be rules-based or principles-based.,,,Easy,Conceptual,,1
4,20,22,Q16,Establishing standards of ethical behavior and monitoring professional conduct are best described as ways that professions:,avoid regulatory scrutiny.,establish trust.,increase the market value of their services.,B,The Answer is B .Professions establish trust through high standards and monitoring.,,,Easy,Conceptual,,1
4,20,22,Q17,A profession is most accurately described as an occupational group that requires its members to:,abide by a code of ethical conduct.,have specialized expert knowledge.,put client interests first.,B,The Answer is B .Professions require specialized expert knowledge.,,,Easy,Conceptual,,1
4,20,22,Q18,An ethical decision-making framework:,considers alternative actions and unintended consequences.,focuses on the near term impact on all stakeholders.,primarily addresses compliance with regulatory issues.,A,The Answer is A .Ethical frameworks consider alternative actions and consequences.,,,Easy,Conceptual,,1
4,20,22,Q19,Which of the following characteristics distinguishes a profession from an occupation? Members of a profession:,view their work as a calling.,are better compensated for their services.,abide by a code of ethics.,C,The Answer is C .Members of a profession abide by a code of ethics.,,,Easy,Conceptual,B,1
4,20,22,Q20,"In dealing with the public and others, the CFA Institute Code of Ethics requires that CFA institute members act with :","integrity , competence and respect","candor,skill and honor","honesty , professionalism and high ethical standards",A,"The Answer is A . Integrity , competence and respect are mentioned by name in the first component of the Code of Ethics",,,Easy,Conceptual,A,1
4,15,26,Q21,"Which of the following is most likely permitted under Standard I(C), Misrepresentation?",Citing quotes without specific reference.,Including data without stating its source.,Using unacknowledged report excerpts.,A,The Answer is A. The government bond yield curve is factual information that is available from many recognized financial or statistical reporting services.,,,Easy,Conceptual,,1
4,15,26,Q22,A money manager says her firm can perform all financial services needed by a new client. Is this a violation of the Standard on misrepresentation?,It is not a violation if based on factual information.,It is a violation.,Violation only if in writing.,A,"The Answer is A. There is no violation if the opinion is based upon the factual information gathered and the firm's actual capabilities. This is true whether or not the representation was written, oral, or electronic.",,,Easy,Conceptual,,1
4,15,27,Q23,An analyst uses computer programs developed by his predecessor in the organization for his personal consulting business. Is this a violation of the CFA Institute Standards?,Violation of misconduct.,Violation of fair dealing.,Appropriate as an employee of the organization.,A,"The Answer is A. Since the programs are the property of the organization, the analyst can only use them for the organization. Personal use of the programs without permission from the organization is dishonest and prohibited.",,,Easy,Conceptual,A,1
4,15,23,Q24,"Jerry Brock, CFA, does not inform his clients about his bankruptcy protection. Is this a violation?","Yes, violates integrity standards.","Yes, must disclose bankruptcy.",No.,C,"The Answer is C. Declaring personal bankruptcy does not, by itself, reflect adversely on a member or candidate's integrity or trustworthiness. Only if the circumstances of the bankruptcy included fraud or dishonesty on the part of the member would it violate Standard I(D) Misconduct. Standard VI(A) Disclosure of Conflicts does not require members and candidates to disclose personal matters unless they create the appearance of a conflict of interest.",,,Medium,Conceptual,A,1
4,15,27,Q25,"Which of the following is NOT a violation of Standard I(D), Misconduct?",Misdemeanor involving civil disobedience.,Undermines confidence in CFA charter.,Conviction of fraud.,A,"The Answer is A. The Code and Standards do not focus on personal conduct as long as the conduct does not reflect poorly on one's professional reputation, integrity, or competence.",,,Easy,Conceptual,,1
4,15,27,Q26,Which action most likely violates Standard I(D) Misconduct?,Inflated mileage totals for reimbursement.,Securing a salary increase from current employer.,Trespassing during a protest.,A,"The Answer is A. Any activity that reflects adversely on a member's professional reputation, integrity, or competence is a violation of Standard I(D) Misconduct. Standard I(D) is generally not intended to extend to legal transgressions resulting from acts of civil disobedience in support of personal beliefs.",,,Easy,Conceptual,,1
4,15,26,Q27,"Sandra Bulow, CFA, is delinquent in updating her firm's website.She makes errors and never corrects in while updating the website. Is this a violation of any Standard?",Violation of 'Misrepresentation'.,Violation of 'Fair Dealing'.,Not a violation.,A,"The Answer is A. Bulow is most likely in violation of Standard I(C) 'Misrepresentation.' The web site information is erroneous, and needs to be updated to match the firm's current practices.",,,Easy,Conceptual,B,1
4,15,26,Q28,Marc Randall's boss claims their investments always outperform and will continue to do in the future. Is this a violation?,Violation of fiduciary duties.,Misrepresentation prohibition.,Not a violation.,B,"The Answer is B. Under Standard I(C), members are forbidden from guaranteeing a specific rate of return on volatile investments. Therefore, the statement is in violation of the Standard.",,,Easy,Conceptual,B,1
4,15,27,Q29,"Timothy Hooper, CFA, has been dismissed for misusing donated clothes. Has he violated Standard I(D)?","No, because he volunteers.","No, unrelated to his professional activities.",Yes.,C,"The Answer is C. Hooper violated Standard I(D) because he repeatedly engaged in conduct that involves dishonest conduct. This violation occurred despite the fact that his offenses do not relate directly to his professional activities. However, Hooper's conduct reflects poorly on his professional reputation and integrity.",,,Easy,Conceptual,,1
4,15,27,Q30,CFA Institute members should encourage their employers to do all of the following EXCEPT:,conduct background checks on potential employees to ensure that they are of good character and eligible to work in the investment industry.,make clear that dishonest personal behavior reflects poorly on the profession,require employees to write personal ethics statements.,C,The Answer is C.There is no reason to have employees write personal ethics statements. CFA Institute encourages all of the other actions.,,,Medium,Conceptual,A,1
4,15,27,Q31,Which action least likely violates the Standard on misconduct?,Drinks excessively and returns to work under the influence.,Participating in a nonviolent protest.,Perjury in a lawsuit.,B,"The Answer is B. Guidance for Standard I(D) Misconduct recognizes civil disobedience as an activity that is not a violation. The focus of the Standard is on professional conduct, not personal conduct, unless the personal conduct involves dishonesty, fraud, or deceit.",,,Easy,Conceptual,,1
4,15,26,Q32,"Which statement mentioned in advertising investment business is a violation of Standard I(C), Misrepresentation?",Likely to double Investments in Value,Assistance in all investment needs,Recommendation of GNMA bonds.,A,"The Answer is A. CFA Institute members, CFA charterholders, and CFA candidates are prohibited from misrepresenting their services or qualifications and inappropriate assurances about any investment or its return.",,,Easy,Conceptual,A,1
4,15,27,Q33,A CFA charterholder inflates his expense reports. Is this a violation of the Standards?,Violation if the amount is material.,Charterholder should have paid his own expenses.,"Yes, reflects dishonesty.",C,"The Answer is C. Any action by a member or candidate involving dishonesty, fraud, or deceit is a violation of Standard I(D) Misconduct.",,,Easy,Conceptual,,1
4,15,26,Q34,Which of the following must an analyst cite in a report?,Quote from the Federal Reserve Chairman.,Estimates of betas by S&P.,Developer of a chart.,A,"The Answer is A. Statistics provided by a recognized agency, such as Standard and Poor's, do not need to be cited. Charts, quotes, and algorithms developed by the firm would need to be cited when they are used but the individual(s) who developed the materials within the firm do not need to be cited.",,,Easy,Conceptual,,1
4,15,26,Q35,"Erik Bagenot, CFA, uses unacknowledged sources in a report. Is this a violation?","Wain violated, but Bagenot did not.",Both violated the Standards.,"Bagenot violated, but Wain did not.",C,"The Answer is C. Bagenot complied with Standard I(C), which permits publishing factual information from Standard & Poor's without acknowledgment and using excerpts with acknowledgment. Wain committed plagiarism because she failed to give specific references for the quotations that she used.",,,Easy,Conceptual,,1
4,15,27,Q36,"Which are recommended compliance procedures according to Standard I(D), Misconduct?",Background checks on employees.,Continuing education on ethical behavior.,Refer disputes to Professional Conduct Program.,A,The Answer is A. According to Standard I(D) Misconduct - Procedures for Compliance: Members should encourage their employers to conduct background checks on potential employees to ensure that they are of good character and eligible to work in the investment industry.,,,Easy,Conceptual,A,1
4,15,26,Q37,"Which is permissible under Standard I(C), Misrepresentation?",Including a graph without citing the source.,Reporting statistics omitting caveats.,Using excerpts without acknowledgment.,A,The Answer is A. The only permissible action in the above list is including a graph of the Fed's discount rates over the last 12 months because it is factual information published by a recognizable financial and statistical reporting service.,,,Easy,Conceptual,,1
4,15,26,Q38,Which is least likely a form of misrepresentation?,Using recognized sources without acknowledgment.,Attributing quotations without specific reference.,Presenting forecasts with identified source.,A,The Answer is A. Standard I(C) provides that 'factual information published by recognized financial and statistical reporting services or similar sources' may be used without an acknowledgment.,,,Easy,Conceptual,,1
4,15,25,Q39,"While copying some of her research materials at work, Mary Jones comes across a few incomplete research notes written by one of her colleagues. As a result of reading the notes, and without further review, Jones immediately changes one of her stock recommendations from sell to buy. Which of the following CFA Institute Standards has Jones violated?","Standard I(B), Independence and Objectivity.","Standard III(A), Loyalty, Prudence, and Care.","Standard V(A), Diligence and Reasonable Basis.",C,The Answer is C. Jones has violated Standard V(A) by failing to exercise diligence and thoroughness.,,,Medium,Conceptual,B,1
4,15,26,Q40,What does the prohibition against plagiarism apply to?,Applies to oral communications and telecommunications.,Only applies to written materials.,Applies only to oral communications.,A,"The Answer is A. The prohibition against plagiarism applies to written, oral, and telecommunication materials.",,,Easy,Conceptual,,1
4,15,27,Q41,Is shoplifting a violation of Standard I(D) Misconduct?,"No, unrelated to the profession.","Yes, involves stealing.","Yes, more than six months prison.",B,"The Answer is B. Any act involving lying, cheating, stealing, or other dishonest conduct that reflects adversely on the charterholder's professional activities is a violation of Standard I(D). Although the crime did not relate to the investment profession, it certainly reflected adversely on the charterholder professionally.",,,Easy,Conceptual,,1
4,15,26,Q42,"Paul Thomas, CFA, does not credit the source of stock charts. Is this a violation?",Violation for not stating the source.,Violation for inaccuracy.,No violation as charts are widely available.,A,"The Answer is A. Standard I(C) Misrepresentation. Members should not copy or use material prepared by others without acknowledging and identifying the source of such material. Using charts and graphs without stating their source is a violation of the Standard. Data from recognized statistical reporting services may be used without attribution, but charts, analysis, and other such creative content may not.",,,Easy,Conceptual,,1
4,15,27,Q43,Is a CFA charterholder coming to work intoxicated a violation?,Not a violation of the standards.,Violation of professional misconduct.,Violation of duties to employer.,B,"The Answer is B. Being intoxicated at work is poor personal behavior. It is a violation of Standard I(D), which covers professional competence and integrity.",,,Easy,Conceptual,,1
4,15,26,Q44,"Which does NOT violate Standard I(C), Misrepresentation?",Citing quotes without specific references.,Presenting factual information without acknowledgment.,Copying proprietary spreadsheet without authorization.,B,"The Answer is B. Standard I(C), Misrepresentation, permits using factual information from recognized financial and statistical reporting services without acknowledgment.",,,Easy,Conceptual,B,1
4,15,26,Q45,"Wes Smith, CFA, prints new business cards with an unearned degree. Is this a violation?",No violation if cards are not public until degree is confirmed.,Misrepresentation.,Reference to CFA Institute.,B,"The Answer is B. If the cards were distributed today he would be in violation of Standard I(C), Misrepresentation. However, if Smith does not make the cards public until after he receives the degree, there is no violation.",,,Easy,Conceptual,,1
4,14,29,Q46,"Klaus Gerber, CFA, has incorrectly quoted an investment recommendation on a public website.Quotes and recommendations by Gerber have previously made the security prices fluctuate. Another CFA , Fox Carter , sells short the security knowing the quote is false. Is this a violation?","Yes, using material non-public information.","No, if the market already reflected the change.","No, Fox got the information and thus the information is public",A,"The Answer is A. Even though the information is false, this fact is known only to Fox and is thus nonpublic information. Since such recommendations can have significant effect on the price of the security in question, the information is clearly material. Fox is in violation of Standard II(A) Material Nonpublic Information.",,,Medium,Conceptual,A,1
4,14,29,Q47,A stockbroker receives insider information from a CEO during a stock purchase request. How should they proceed?,Do nothing until confirming public dissemination.,Process the request following standard loyalty protocols.,Delay but not infract low tier setups.,A,"The Answer is A. Doing any of these actions would be a violation of Standard II(A), Material Nonpublic Information. Members and Candidates must not act or induce others to act on material nonpublic information.",,,Easy,Conceptual,,1
4,14,29,Q48,What does the Mosaic Conceptual permit an analyst to do?,"Base recommendations on combined non-material, public and non-public data.",Recommendations on a purely non-public basis without disclosure.,Ensure CEO clearance trace memoed aloud.,B,"The Answer is B. The mosaic Conceptual permits an analyst to make recommendations based upon several pieces of public or nonmaterial information, even though the compiled result is both material and nonpublic.",,,Easy,Conceptual,,1
4,14,29,Q49,How should a firm with investment banking and brokerage departments handle material non-public information?,Separate departments to restrict employee trading.,Monitor employee accesses across the board.,Rational layer yes within regional if stats touch.,B,The Answer is B. Restricting employee trading in stocks for which the firm has material non-public information is the best answer. Recording the exchange of information between the two departments is not the best option because there should be no exchange of information between these two departments. Divesting a department is not a suitable method for addressing this potential problem.,,,Easy,Conceptual,,1
4,14,29,Q50,A CFA charterholder hears insider information during a conference call. Can they act on it?,Only for the personal account.,Violation if portfolio/company scope relates.,Avoid market ‘public access baseline assessment align.,B,"The Answer is B. Selling Knoll stock from either the pension fund or Hess's personal account would be trading on material nonpublic information, in violation of Standard II(A) Material Nonpublic Information.",,,Easy,Conceptual,,1
4,14,30,Q51,Which action is considered market manipulation under Standard II(B)?,Overstating earnings projections to inflate stock prices.,Implementing trading strategies exploiting information asymmetry.,Engaging in block trades for thinly traded securities.,C,"The Answer is C. Overstating earnings projections in order to increase the price of a stock is a direct violation of Standard II(B), Market Manipulation.",,,Easy,Conceptual,,1
4,14,29,Q52,How should a Brokerage House manage material non-public information between departments?,Establish information barriers between departments.,Encourage public dissemination of such information.,Maintain a public log of accessed data.,A,The Answer is A. The physical and information barrier erected between departments to prevent communication of material nonpublic information from one department to another is called a 'firewall.',,,Easy,Conceptual,A,1
4,14,30,Q53,"Ron Taylor, a Level I CFA candidate, manipulates market rumors to benefit trading. Is this a violation?","Yes, violates Standard II(B).","Taylor violated, but Sims did not.",Neither violated.,C,The Answer is C. Taylor is in violation of Standard II(B) Market Manipulation by creating a scheme that caused others to trade on false information. Sims is not in violation of Standard II(B).,,,Easy,Conceptual,,1
4,14,29,Q54,"Wallace Manaugh, CFA, uses combined public and nonpublic information for analysis. Is this allowed?","Yes, if no public dissemination efforts are made.","No, as the information is combined from public sources.","Yes, acting responsibly under Standards.",B,"The Answer is B. Under the mosaic Conceptual, financial analysts are free to combine public information with nonmaterial nonpublic information and act based on their conclusions.",,,Easy,Conceptual,,1
4,14,29,Q55,Which statement about non-public information is incorrect?,An analyst may use some types of non-public information.,Material nonpublic information impacts security prices.,Nonpublic until disclosed to the marketplace.,A,The Answer is A. A member can be suspended only if they trade or cause others to trade on material non-public information. Receiving such information is not punishable in itself.,,,Easy,Conceptual,,1
4,14,29,Q56,A CFA charterholder receives merger-related non-public information during a call. What should they do?,Wait until the information is publicly disclosed.,Encourage management to announce the news publicly.,Do not acquire the shares.,B,The Answer is B. Standard II(A) prohibits members from taking investment action if they possess material nonpublic information.,,,Easy,Conceptual,,1
4,14,29,Q57,What is least accurate regarding Standard II(A) on material non-public information?,"If you receive the information in a public forum, you can trade on it.","If received from a non-breaching insider, it can be used.",Material related to tender offers cannot be traded.,B,"The Answer is B. If the information is material and nonpublic, the Member or Candidate cannot trade or cause others to trade, even if the insider did not breach fiduciary responsibility.",,,Easy,Conceptual,,1
4,14,29,Q58,"Mark Guenin, CFA, learns of a merger at a golf club meeting. What is his appropriate action?",Encourage companies to announce the merger.,Divest personal holdings before the merger is public.,Write a report analyzing the merger.,B,The Answer is B. Guenin should make reasonable efforts to have the two companies announce the merger in order to achieve public dissemination of the news.,,,Easy,Conceptual,,1
4,14,29,Q59,An analyst is pressured by a supervisor to trade on insider information. What standards are violated?,Loyalty.,Material non-public information.,Both loyalty and material non-public information.,B,"The Answer is B. Complying with the request is a violation of Standard II(A) Material Nonpublic Information, which prohibits trading on insider information.",,,Easy,Conceptual,,1
4,14,28,Q60,What is the correct use of the Mosaic Conceptual for trading predictions?,Using public and non-material information for predictions.,Predictions based on public forecasts.,Material only via aggregate information.,C,"The Answer is C. Based on the mosaic Conceptual, a member or candidate may act on a combination of public information and nonmaterial nonpublic information.",,,Easy,Conceptual,B,1
4,14,29,Q61,What is the most common method to prevent insider trading within firms?,Firewalls.,Legal lists.,Wall Street Rule.,A,"The Answer is A. To comply with Standard II(A), a firewall provides an information barrier that prevents communication of material nonpublic information and other sensitive information.",,,Easy,Conceptual,,1
4,14,28,Q62,Earnings guidance disclosed to analysts in a call. Is this public or non-public information?,Material and non-public.,Non-material but public.,Material but accessible to analysts.,B,The Answer is B. Disclosure to analysts is not public dissemination. Information remains nonpublic until it has been disseminated to the marketplace.,,,Easy,Conceptual,,1
4,14,29,Q63,Andrea Waters combines non-material pieces of information to predict earnings. Is this a violation?,"Yes, under the Mosaic Conceptual.","No, pieces were non-material individually.","No, complies with CFA standards.",A,The Answer is A. Members who can piece together items of nonmaterial nonpublic information with public information can use such information for trading purposes based on the mosaic Conceptual.,,,Easy,Conceptual,,1
4,14,29,Q64,Nancy McCoy uses litigation-related information from suppliers in her report. Is this allowed?,"Yes, it uses non-public material information.","No, suppliers are public sources.","Yes, unless disclosed publicly first.",C,"The Answer is C. McCoy has not violated any Standard, as the information is part of the public domain and does not fall under nonpublic material information.",,,Easy,Conceptual,,1
4,14,29,Q65,A portfolio manager uses ETFs to act on overheard non-public information. Is this a violation?,"Yes, Standard II(A) violation.","No, ETFs are diversified instruments.","Yes, misuse of private details.",C,"The Answer is C. This is a violation of Standard II(A) 'Material Non-Public Information,' irrespective of whether Front is simultaneously shorting the funds.",,,Easy,Conceptual,,1
4,14,29,Q66,What defines 'material' in the term material nonpublic information?,Important to reasonable investors making decisions.,Derived directly from issuing company's management.,Significant changes to market price.,B,"The Answer is B. An item of information is material if its disclosure would be likely to have an impact on the price of a security, or if reasonable investors would want to know the information before investing.",,,Easy,Conceptual,,1
4,14,29,Q67,"A stockbroker who is a CFA Institute member is called on the telephone by the CEO of a large company. The CEO asks to buy shares of the CEO's company for the accounts of the CEO's children. In the course of the conversation, the CEO says this will really pay off when the upcoming takeover goes through. The stockbroker checks her sources and finds no information about the takeover. In this case the broker should:",do neither of the actions listed here.,"execute the order for all clients as required by Standard III(B), Fair Dealing.","only execute the order in compliance with Standard III(A), Loyalty, Prudence, and Care. Since the client is buying the stock for the children, there is not a problem.",A,"The Answer is A. Doing any of these actions would be a violation of Standard II(A), Material Nonpublic Information. Members and Candidates must not act or induce others to act on material nonpublic information.",,,Easy,Conceptual,B,1
4,14,29,Q68,A housekeeper overhears private conversations about a tender offer. Can this be traded on?,"No, only if it’s confirmed as public information.","Yes, if it's a tender offer discussion.","Yes, provided confidentiality was maintained.",C,"The Answer is C. Knowing that the meeting concerned a tender offer makes the information material and nonpublic, restricting the broker from trading on it.",,,Easy,Conceptual,,1
4,14,28,Q69,Which statement about material nonpublic information is NOT correct?,Material if reasonable investors would want to know it.,Material until shared with select groups.,Public dissemination invalidates it.,B,The Answer is B. Information is nonpublic until it has been disseminated to the marketplace in general as opposed to a select group of investors.,,,Easy,Conceptual,,1
4,14,30,Q70,A trader posts false comments about a company online to manipulate prices. What is this?,Transaction-based manipulation.,Information-based manipulation.,Information- and transaction-based manipulation.,A,"The Answer is A. Williamson is in violation of Standard II(B), Market Manipulation, by engaging in information-based manipulation.",,,Easy,Conceptual,,1
4,14,29,Q71,When may material nonpublic information not be used?,If obtained through duty breach.,If misappropriated.,Until it’s publicly available.,A,The Answer is A. Members and candidates may not act or cause others to act on material nonpublic information until that same information is made public.,,,Easy,Conceptual,,1
4,14,29,Q72,How is insider trading defined?,Material and non-public.,Material and public.,Non-material and non-public.,A,The Answer is A. Information is material if it would be important to the investor in their investment-making decision. Information is nonpublic if it is not yet available to the public.,,,Easy,Conceptual,,1
4,14,29,Q73,What is the least accurate description of using material nonpublic information?,Passing information to others is a violation.,Using non-material data under the Mosaic Conceptual is allowed.,An analyst violating this may be fined.,B,"The Answer is B. Nonmaterial, nonpublic information may be used together with analysis of public information under the Mosaic Conceptual.",,,Easy,Conceptual,,1
4,14,28,Q74,"Steve Jones is a portfolio manager for Gregg Advisors. Gregg has developed a proprietary model that has been thoroughly researched and is known throughout the industry as the Gregg model. The model is purely quantitative and screens stocks into buy, hold, and sell categories. The basic philosophy of the model is thoroughly explained to clients. The director of research frequently alters the model based on rigorous research—an aspect that is well explained to clients, although the specific alterations are not continually disclosed. Portfolio managers then make specific sector and security holding decisions, purchasing only securities that are indicated as ""buys"" by the model. Jones thoroughly understands the model and uses it with all of his clients. Jones is:",not violating the Standards either in purchasing stocks without a thorough research basis or in not disclosing all alterations of the model to clients.,"violating the Standards in not disclosing all alterations of the model to clients, but not in purchasing stocks without a thorough research basis.",violating the Standards in purchasing stocks without a thorough research basis and in not disclosing all alterations of the model to clients.,A,"The Answer is A. Jones and Gregg are using reasonable judgment in not continually disclosing all of the alterations of the model. It is acceptable to use a pure quantitative model as a sole basis for purchasing stocks, as long as it is thoroughly researched.",,,Easy,Conceptual,A,1
4,14,30,Q75,What is an example of information-based market manipulation?,Spreading false rumors to manipulate prices.,Entering large offsetting trades to inflate volumes.,Influencing future prices by dominant commodity positions.,A,The Answer is A. Spreading false rumors about a stock is an example of information-based market manipulation. The other choices are examples of transaction-based market manipulation.,,,Easy,Conceptual,A,1
4,16,31,Q76,Bjorn Sandvik emails a buy recommendation to select clients before mailing it to others. Has he violated the CFA Standards?,Not violated as the dissemination was fair.,Violated by sending recommendations in advance.,Violated by emailing only select clients.,A,The Answer is A. Standard III(B) Fair Dealing requires that members deal fairly with all clients in disseminating investment recommendations. Sandvik's approach is fair as he emailed clients who provided email addresses and mailed others the same day.,,,Easy,Conceptual,,1
4,16,33,Q77,What limitation does the Fair Dealing standard impose regarding investment recommendations?,Clients should not be discriminated against.,Referral fees disclosed after agreement.,Must wait for employer and client trades.,A,The Answer is A. Standard III(B) Fair Dealing states that dissemination of information and recommendations to clients must be handled fairly. Discrimination against clients when disseminating recommendations is not permitted.,,,Easy,Conceptual,,1
4,16,31,Q78,When is not voting client proxies a violation of the Standards?,When all proxies are not voted for client stocks.,When directed brokerage is used improperly.,Neither practice violates the Standards.,B,"The Answer is B. Proxies have economic value to the client. Analysts are obligated to vote proxies responsibly under Standard III(A), Loyalty, Prudence, and Care. Directed brokerage arrangements are acceptable if they benefit the client.",,,Easy,Conceptual,,1
4,16,33,Q79,What is least likely to be a recommended compliance procedure for fair dealing?,Shorten time between recommendation and dissemination.,Maintain client holdings to notify changes.,Maximize number of informed clients.,C,The Answer is C. Recommended compliance procedures for Standard III(B) Fair Dealing include limiting the number of people aware of an impending recommendation to maintain fairness and avoid preferential treatment.,,,Easy,Conceptual,,1
4,16,31,Q80,Ed Staples manages a pension fund. What does the Code require of him?,Act solely in the interest of beneficiaries.,Support the sponsor during proxy fights.,Base decisions on beneficiary return/risk profiles.,A,"The Answer is A. Standard III(A) Loyalty, Prudence, and Care requires members managing investment funds to act in the interest of beneficiaries and consider them as a whole rather than on an individual basis.",,,Easy,Conceptual,,1
4,16,31,Q81,Bertha Mader receives a proxy regarding a hostile takeover. How should she act in the shareholders' best interest?,Vote for the takeover if it benefits shareholders.,Delegate the proxy vote to avoid conflict.,Vote for the takeover if management remains.,B,"The Answer is B. Under Standard III(A), Loyalty, Prudence, and Care, Mader must vote proxies in her clients' best interest, prioritizing shareholders over company management.",,,Easy,Conceptual,,1
4,16,32,Q82,Tony Calaveccio uses soft dollars for personal and client-related research. Does this violate fiduciary duties?,Violation regarding municipal bond research.,Violation of fiduciary duty in both cases.,No violation for small-cap research.,C,"The Answer is C. Standard III(A), Loyalty, Prudence, and Care, requires fiduciary responsibilities when handling soft dollars. Using soft dollars for municipal bond research unrelated to the fund's objectives violates this standard.",,,Easy,Conceptual,,1
4,16,35,Q83,Rey Sanchez informs portfolio managers of a pending sell recommendation. Are his actions a violation?,Violation of Fair Dealing; managers also violated.,Violation of Fair Dealing; managers not violated.,Not a violation of Fair Dealing; managers violated.,A,"The Answer is A. Sanchez and the portfolio managers violated Standard III(B), Fair Dealing, by giving preferential treatment to discretionary accounts and sharing the recommendation before public dissemination.",,,Easy,Conceptual,,1
4,16,32,Q84,"To whom does brokerage belong under the Standard concerning loyalty, prudence, and care?",Client.,Managing firm.,Brokerage firm conducting trades.,C,"The Answer is C. Brokerage is considered an asset of the client, as outlined in Standard III(A), Loyalty, Prudence, and Care.",,,Easy,Conceptual,,1
4,16,34,Q85,What action most likely violates the Standard regarding duties to clients?,Adding risky derivatives for a moderate-risk client.,Recommending securities without client inquiry.,Executing client orders for overvalued securities.,C,"The Answer is C. Standard III(A) Loyalty, Prudence, and Care requires a reasonable inquiry into the client's experience and constraints before making recommendations.",,,Easy,Conceptual,,1
4,16,35,Q86,Which action is NOT a valid compliance procedure for Standard III(B) Fair Dealing?,Communicate recommendations simultaneously to all.,Inform customers even if securities are ineligible.,Limit privy knowledge of recommendations.,B,"The Answer is B. Investment recommendations need not be communicated to clients for whom the securities are unsuitable under Standard III(B), Fair Dealing.",,,Easy,Conceptual,,1
4,16,35,Q87,Tony Calaveccio addresses a trading error made by a brokerage. Is his action a violation?,Permissible under CFA Institute Standards.,Violation of fiduciary duties.,Violation of employer duty.,C,"The Answer is C. Since Quantco Brokerage caused the trading error, Calaveccio is not in violation for allowing Quantco to cover the cost without impacting TrustCo.",,,Easy,Conceptual,,1
